id,venue_name,venue_type,main_bus,venue_add_one,venue_add_two,venue_pcode,venue_web,venue_phone,venue_email,venue_fb,venue_tw,org_own,mger,mger_email,mger_phone,online_contact_form,follow_up,venue_city,venue_country,notes,std_sign_off,res_sign_off,s_kick_id,latitude,longitude,constituency,wday_opening,wday_closing,wkd_opening,wkd_closing,show_opening,show_closing,variations,promoters,venue_capacity,outdoor_space,type_outdoor_space,Instagram ,PRS Type,PRS Venue cat,Omic,gigmainbiz,MD_pad,NPO,FAC,AIE,MVT,Year Venue Opened ,Year Venue Closed ,LAP_areas 
96,Peter Kavanagh's,"bar, pub with music",no,2-6 Egerton Street,Liverpool,L87LY,NA,0151 709 3443,peterkavanaghspub@gmail.com,https://www.facebook.com/Peter-Kavanaghs-126447404074442/,https://twitter.com/peterkavanaghs?lang=en,Rita Smith,,emailed,,NA,,Liverpool,England,"Live music TUE/SAT | pub existed far before (1870s), but was renamed in 1978 in honour of long standing owner",C,,,53.39664,-2.96745,,12:00:00,00:00:00,12:00:00,00:00:00,,,MON/12:00/23:00; SAT/12:00/01:00,,,Y,SA,,Public House,Gigs and Clubs,,,,,,,,1978,,
97,Phase One,smallvenue,yes,40 Seel Street,Liverpool,L14BE,https://www.jacarandarecords.com/phaseone/,0151 363 1292,bookings@heebiejeebies.biz,https://www.facebook.com/phaseonelpool,https://twitter.com/jacrecordstore,Phase 1 Liverpool Limited,Graham Stanley,g.stanley@heebiejeebies.biz,7403102105,NA,,Liverpool ,England,Opening times are for bar,C,,3958169,53.40274,-2.98135,,15:00:00,01:00:00,15:00:00,01:00:00,,,Closed MON/TUE,,200/80,Y,SA,https://www.instagram.com/phaseonelpool/,Public House,Gigs and clubs,,1,1,,,,,2018,,EC6/CC15
98,Philharmonic Music Room,smallvenue,yes,"Philharmonic Hall, Hope Street",Liverpool,L19BP,https://www.liverpoolphil.com/music-room,0151 709 3789,customerservices@liverpoolphil.com,https://www.facebook.com/LiverpoolPhilharmonic/,https://twitter.com/liverpoolphil,Royal Liverpool Philharmonic Society ,Richard Haswell,richard.haswell@liverpoolphil.com,NA,NA,,Liverpool,England,,C,,625896,53.4014299,-2.970310581,,,,,,20:00:00,23:00:00,,,250/190,N,,https://www.instagram.com/liverpool_philharmonic/,Hall or Institute ,Major Live Events,,1,,1,,,,2015,,
99,Pins Social Club,"bar, pub with music",no,45-61 Duke Street,Liverpool,L15AP,https://www.pinssocialclub.co.uk/,?0151 370 0000,info@pinssocialclub.co.uk,https://www.facebook.com/pinssocialclub,NA,"Daniel Gillbanks, David Scowcroft",Jennifer Eyre,jenn@pinssocialclub.co.uk,NA,NA,,Liverpool,England,,C,,,53.40215,-2.98275,,16:00:00,23:00:00,12:00:00,23:00:00,,,SAT/12:00/23:00; SUN/10:00/23:00,,600,Y,TA,https://www.instagram.com/pinssocialclub/,Public House,Gigs and clubs,,,,,,,,2020,,
100,Pogue Mahones,"bar, pub with music",no,77 Seel Street,Liverpool,L14BB,http://apubcalledpogues.com,0151 708 5735,pogues@dgb-hospitality.com,https://www.facebook.com/apubcalledpogues/,https://twitter.com/poguemahone_pub,Enterprise Taverns,Dean,gm.pogues@dgb-hospitality.com,7926126558,NA,,Liverpool,England,Reopened in 2017 after a several month closure,C,,,53.40122,-2.97667,,12:00:00,02:00:00,12:00:00,03:00:00,,,,,125,N,,https://www.instagram.com/apubcalledpogues/,Public House,Gigs and Clubs ,,,,,,,,1997,,HD1/CC15
101,Prohibition Recording Studio,other,yes,24A Arrad Street,Liverpool,L77BP,https://www.prohibitionrecordingstudios.co.uk/,07710 485898,info@prohibitionrecordingstudios.co.uk,https://www.facebook.com/Prohibitionrecordingstudios/,https://twitter.com/prohibitionlive?lang=en,Cover Star Experiences Ltd,Matt Croft ,info@prohibitionrecordingstudios.co.uk,7710485898,https://www.prohibitionrecordingstudios.co.uk/contact-us/,,Liverpool,England,,,,,53.40242,-2.96933,,10:00:00,22:30:00,10:00:00,22:30:00,18:30:00,22:30:00,,,45,N,,https://www.instagram.com/prohibitionrecordingstudios/-gb,,Gigs and Clubs,,1,,,,,,2017,,
102,Punch Tarmey's,"bar, pub with music",no,31 Grafton Street Cains Brewery Village,Liverpool,L85SD,https://www.punchtarmeys.co.uk/our-venues/liverpool/,0151 315 0575,punchtarmeyliverpool@mhalg.com,https://www.facebook.com/punchtarmeyscains,https://twitter.com/TarmeysPunch,Andrew Mikhail,,emailed,,NA,,Liverpool ,England,"Pub capacity is 1000, capacity on database indicates tha space where live music is played",C,,,53.39349,-2.9792,,10:00:00,00:00:00,10:00:00,02:00:00,,,,,300,Y,SA,https://www.instagram.com/punch_tarmeys_liverpool/,,Gigs and Clubs,,,,,,,,2018,,
103,Quarry ,smallvenue,yes,17 Love Lane,Liverpool,L37DD,https://www.quarrysound.co.uk/,NA,quarry.venue@gmail.com,https://www.facebook.com/QUARRY.Liverpool,,Quarry Sound Liverpool CIC,Pauline,quarry.venue@gmail.com,7375546314,NA,,Liverpool,England,,C,,,53.41717,-2.99469,,,,,,19:30:00,00:00:00,,,200,Y,TA,https://www.instagram.com/quarryliverpool/,Live Music Venue,Gigs and Clubs,,1,1,,1,,,2020,,
104,Rendezvous Bar,"bar, pub with music",yes,125 Church Street,St Helens,WA101AJ,NA,TBC,therendezvousbar@hotmail.com,https://www.facebook.com/therondybar/,,,,,,NA,,St Helens,England,,,,706976,53.45155,-2.73179,,11:00:00,23:00:00,11:00:00,23:00:00,,,SUN/12:00/22:30,,,N,,,Public House,Gigs and Clubs,,1,,,,,,2007,,
105,Royal Court Theatre,theatre,no,1 Roe Street,Liverpool,L11HL,https://liverpoolsroyalcourt.com/,0151 709 4321,boxoffice@royalcourtliverpool.com,https://www.facebook.com/RoyalCourtLiv/,https://twitter.com/RoyalCourtLiv,English Stage Company,C.H. Mason,Emailed,,NA,,Liverpool,England,"Opened first in 1826, as Cookes New Circus, then Cooke's Amphitheatre of Arts, but was burned down in 1933 and rebuilt to open in 1938",C,,4019,53.4075,-2.98116,,,,,,19:30:00,23:00:00,,,1186,N,,https://www.instagram.com/royalcourtliv/,,Gigs and Clubs,,,,1,,,,1938,,
106,Ruby Blues ,"bar, pub with music",no,53 Great Charlotte Street,Liverpool,L11HU,https://www.rubybluesliverpool.co.uk/,0151 351 6729,admin@rubybluesliverpool.co.uk,https://www.facebook.com/RubyBluesCottonClub,https://twitter.com/RubyBluesEst15,Pub Invest Group,Darren Smith,darren.smith@jsmbars.co.uk,NA,https://www.rubybluesliverpool.co.uk/contact/,,Liverpool ,England,Used to be an NHS walk in centre,C,,,53.40591,-2.97964,,12:00:00,01:00:00,12:00:00,01:00:00,,,Closed MON/TUE/WED,,300,N,,,Public House,Gigs and clubs,,,,,,,,2015,,
107,SGT Peppers ,"bar, pub with music",no,Mathew Street,Liverpool,L26RE,https://sgt-peppers.co.uk/,0151 351 6708,music@sgt-peppers.co.uk,https://www.facebook.com/sgtpepperslpool,https://twitter.com/sgtpepperslpool,Pub Invest Group,Sean Traynor,sean.traynor@jsmbars.co.uk,NA,https://sgt-peppers.co.uk/contact-us/,,Liverpool ,England,,C,,,53.40619,-2.98826,,12:00:00,01:00:00,12:00:00,04:00:00,,,SAT/11:00/04:00,,230,N,,https://www.instagram.com/sgtpepperslpl/,Public House,Gigs and clubs,,1,,,,,,2016,,
108,Shenanigans,"bar, pub with music",no,77 Tithebarn Street,Liverpool,L22EN,https://shenanigansliverpool.co.uk,0151 255 0000,bar@shenanigansliverpool.co.uk,https://www.facebook.com/shenanigansliverpool/,https://twitter.com/ShenanigansLiv,Conor Julian McDonald,Katie Hayes,bar@shenanigansliverpool.co.uk,1512550000,https://www.shenanigansliverpool.co.uk/contact,,Liverpool,England,,C,,2534994,53.41035,-2.98893,,07:00:00,00:00:00,07:00:00,01:00:00,,,SAT/9:30/01:00; SUN/9:30/00:00,,220,Y,TA,https://www.instagram.com/shenanigansliverpool/,Public House,Gigs and Clubs,1,,,,,,,1841,,
109,Ship and Anchor,"bar, pub with music",no,5-7 Cable Street,Southport,PR90DF,NA,01704 514112,theshipandanchor@outlook.com,https://www.facebook.com/The-Ship-N-Anchor-101309348005872/,https://twitter.com/theshipnanchor,,,emailed,,NA,,Southport,England,,,,2147169,53.64912,-3.00577,,12:00:00,00:00:00,12:00:00,00:00:00,,,,,,Y,SA,,Public House,Gigs and Clubs,,,,,,,,NA,,
110,Smugglers Cove ,rest,no,"Britannia Pavillion, Albert Docks",Liverpool,L34AD,https://thesmugglerscove.uk.com/,0151 703 6555,liverpool@thesmugglerscove.uk.com,https://www.facebook.com/TheSmugglersCoveLiverpool,https://twitter.com/smugglerscoveL,New World Trading Company ,,,,https://thesmugglerscove.uk.com/contact-us, ,Liverpool,England,,C,,,53.39902,-2.9922,,09:00:00,23:00:00,09:00:00,01:00:00,,,THU/9:00/00:00,,75,N,,https://www.instagram.com/thesmugglerscove/,Public House,Gigs and clubs,,,,,,,,2013,,
111,Society Ltd Tap Rooms,"bar, pub with music",no,33 Ashridge Streer,Runcorn,WA71HU,http://www.societyltd.co.uk/,01928 775628,society33ltd@gmail.com,https://www.facebook.com/Society33Ltd/,https://twitter.com/society__ltd,,,emailed,,NA,,Runcorn,England,,,,4204814,53.342207,-2.74008,,16:00:00,22:30:00,16:00:00,22:30:00,,,Closed MON/TUE/WED; SAT/12:00/22:30,,,Y,TA,https://www.instagram.com/societytaprooms/,Public House,Gigs and Clubs,,,,,,,,NA,,
112,St. Basils Parish Centre,social,no,Hough Green Road,Widnes,WA84SZ,NA,0151 424 7155,stbasils@apcmc.co.uk,https://www.facebook.com/stbasilsclub/,NA,Function & Buffet,Debi Higham,emailed,,NA,,Widnes,England,,C,,,53.37808,-2.77585,,16:00:00,00:00:00,16L00,01:00:00,,,THU/16:00/01:00; SAT/12:00/01:00; SUN/12:00/22:00,,160,N,,,,Gigs and Clubs,,,,,,,,1969,,
113,St. George's Hall,concert,yes,St Georges Place,Liverpool,L11JJ,https://www.stgeorgeshallliverpool.co.uk/,TBC,stgeorgeshall@liverpool.gov.uk,https://www.facebook.com/StGeorgesHall,https://twitter.com/SGHLpool,UK GOV,,Emailed,,https://www.stgeorgeshallliverpool.co.uk/contact-and-accessibility-information/,,Liverpool ,England,Two capacities indicate different spaces | Some events at different times,C,,1081691,53.4082,-2.98018,,,,,,18:00:00,22:00:00,,,500/600,N,,https://www.instagram.com/stgeorgeshall_liverpool/,Hall or Institute ,Major Live Events,,1,,,,,,1854,,
114,Stamps Bar,"bar, pub with music",no,4 Coronation Road,Crosby,L235SR,https://www.stampsbar.co.uk,0151 286 2662,info@stampsbar.co.uk,https://www.facebook.com/stampsbar,https://twitter.com/StampsBar,,,,,https://www.stampsbar.co.uk/contact-us/,,Liverpool,England,,,,1497698,53.49139,-3.02581,,12:00:00,23:00:00,12:00:00,00:00:00,,,,,,Y,TA,https://www.instagram.com/stampsbar/,Restaurant/Cafe,Gigs and Clubs,,,,,,,,1996,,
115,Studio 2,smallvenue,yes,33-45 Parr Street,Liverpool,L14JN,http://www.parrstreetstudios.com/,0151 707 3727,studio2parrstreetl1@gmail.com,https://www.facebook.com/studio2parrstreet,https://twitter.com/Studio2atParrSt,PJ Percival,Birgit Kullamaa,,,NA,,Liverpool,England,May be closed,C,,500636,53.40156,-2.97897,,,,,,19:00:00,23:00:00,,,180,N,,https://www.instagram.com/studio2_parrstreet/,Public House,Gigs and clubs,,1,,,,,,1991,2021,
116,Tank Bar,"bar, pub with music",no,39 Westfield Street,St Helens,WA101QA,NA,07516 267179,NA,https://www.facebook.com/TankBar39,https://twitter.com/tankbarsthelens,Ian Whittaker,Ian Whittaker,whittakerbond@gmail.com,NA,NA,,St Helens,England,"Taken over in 2014 | Capacity is 40 outside, 30-35 inside",C,,1557083,53.45332,-2.740559,,19:00:00,01:00:00,19:00:00,03:00:00,,,Closed MON/TUE/WED/SUN,,75,Y,TA,https://www.instagram.com/tankbar39/,Public House,Gigs and Clubs,,,,,,,,2011,,
117,Tap and Bottle,"bar, pub with music",no,19a Cambridge Walks,Souhtport,PR81EU,https://tap-and-bottles.myshopify.com/,01704 544322,brewhoohah@gmail.com,https://www.facebook.com/tapandbottles/,https://twitter.com/tapandbottles,,Julien Burgess,NA,NA,https://tap-and-bottles.myshopify.com/pages/contact-us,,Southport,England,,C,,,53.647171,-3.00529,,12:00:00,23:00:00,12:00:00,00:00:00,,,SUN/12:00/22:30,,65,Y,SA,https://www.instagram.com/tapandbottles/,,Gigs and Clubs,,,,,,,,2014,,
118,Tess Riley's ,"bar, pub with music",no,6 Great Charlotte Street,Liverpool,L11HU,NA,0151 708 9626,NA,https://www.facebook.com/tess.riley.14,NA,,,,,NA,,Liverpool,England,,,,,53.40572,-2.97956,,11:00:00,23:00:00,11:00:00,00:00:00,,,TUE/11:00/20:00; WED/11:00/20:00; SAT/10:00/01:00,,,N,,https://www.instagram.com/tessrileys/,Public House,Gigs and Clubs,,,,,,,,1995,,
119,The Bakery,arts,yes,136 Marvin Street,Liverpool,L61NF,https://www.earthatthebakery.co.uk/,NA,earthatthebakery@gmail.com,https://www.facebook.com/earthattthebakery/,NA,,,emailed,,https://www.earthatthebakery.co.uk/,,Liverpool,England,CHECK,,,,53.41239,-2.95764,,,,,,18:00:00,20:00:00,,,,N,,https://www.instagram.com/earthatthebakery/,,,,1,,,,,,2021,,
120,The Beeswing ,"bar, pub with music",no,208 Smithdown Road,Liverpool,L153JT,,0151 352 1805,thebeeswingliverpool@gmail.com,https://www.facebook.com/The-Beeswing-Liverpool-104107062164823/,,,,emailed,,,,Liverpool,England,Used to be Evil Eye,,,,53.39067829,-2.930692827,,14:00:00,23:30:00,12:00:00,23:30:00,,,SUN/12:00/23:30,,,Y,TA,,,,1,,,,,,,2022,,
121,The Boot,"bar, pub with music",no,55 Wallasey Road,Wallasey,CH442AA,https://www.craftunionpubs.com/the-boot-pub-wallasey,NA,,https://www.facebook.com/The-Boot-Wallasey-Liscard-2069748506381912/,NA,craftunion,,,,NA,,Wallasey,England,"Listed on Alehouse Register in 1561, but demolished and rebuilt in 1924",C,,,53.419289,-3.048591,,10:00:00,23:00:00,10:00:00,01:00:00,,,,,500,Y,TA,https://www.instagram.com/the_boot_wallasey/,Public House,Gigs and Clubs,,,,,,,,1561,,
122,The Brewery Tap,"bar, pub with music",no,39 Stanhope Street,Liverpool,L85RE,https://www.brewerytapliverpool.com/,TBC,brewerytap@mhalg.com,https://www.facebook.com/thebrewerytapliverpool/,https://twitter.com/brewerytaplive1,Andrew Mikhail,,emailed,,NA,,Liverpool,England,,,,,53.39326,-2.97907,,12:00:00,22:00:00,12:00:00,22:00:00,,,,,,N,,https://www.instagram.com/brewerytapliverpool/,,Gigs and Clubs,,,,,,,,NA,,
123,The Capstone Theatre,theatre,no,17 Shaw Street,Liverpool,L61HP,http://www.thecapstonetheatre.com/,0151 291 3000,capstone@hope.ac.uk,https://www.facebook.com/capstonetheatre/,https://twitter.com/capstonetheatre,Liverpool Hope University, ,campben@hope.ac.uk,0151 291 3419,NA,,Liverpool,England,,C,,,53.4133,-2.96879,,,,,,19:30:00,22:30:00,,,260,N,,https://www.instagram.com/capstonetheatre/,,Gigs and Clubs,,1,,,,,,2010,,
124,The Casa,"bar, pub with music",no,29 Hope Street,Liverpool,L19BQ,https://thecasa.org.uk/,0151 709 7670,NA,https://www.facebook.com/thecasaliverpool/,https://twitter.com/CasaLiverpool,Initiative Factory(Trading Company Ltd),Jacqui Richardson,maggiemoo1409@icloud.com,,https://thecasa.org.uk/contact-us/,,Liverpool,England,,C,,129461,53.40222,-2.96987,,11:00:00,23:00:00,11:00:00,23:00:00,,,Closed SUN/MON,,455,Y,SA,https://www.instagram.com/thecasaliverpool/,Public House,Gigs and Clubs,,,,,,,,2000,,
125,The Club House,rest,no,Chavasse Park,Liverpool,L29SQ,https://theclubhouse.uk.com/locations/liverpool,0151 709 5366,liverpoolbookings@theclubhouse.uk.com,https://www.facebook.com/TheClubHouseL1,https://twitter.com/theclubhouseuk,New World Trading Company ,Christopher Mason,,,https://theclubhouse.uk.com/locations/liverpool/contact-us, ,Liverpool,England,,C,,,53.40429,-2.98834,,09:00:00,00:00:00,09:00:00,00:00:00,,,,,500,Y,SA,https://www.instagram.com/TheClubHouseL1/,Public House,Gigs and clubs,,,,,,,,2016,,
126,The Cross House Inn,"bar, pub with music",no,"Three Tuns Lane, Cross Green",Formby,L374BH,https://www.greeneking-pubs.co.uk/pubs/merseyside/cross-house-inn/,01704 873775,7702@greeneking.co.uk,https://www.facebook.com/CrossHouseInn/,https://twitter.com/cross_house_inn,Greene King Pubs ,,,,NA,,Formby,England,,,,,53.55457,-3.05783,,12:00:00,22:00:00,12:00:00,23:00:00,,,,,50,Y,BOTH,,,Gigs and Clubs,,,,,,,,NA,,
127,The Dispensary ,"bar, pub with music",no,87 Renshaw Street,Liverpool,L12SP,NA,07472 291403,conor@dockleafbar.co.uk,https://www.facebook.com/Dispensarybydockleaf/,https://twitter.com/dispensarythe,West Hibernia Holdings Ltd,,,,,,Liverpool ,England,,,,,53.40261,-2.97575,,12:00:00,23:00:00,12:00:00,00:00:00,,,,,,Y,SA,https://www.instagram.com/thedispensarypub/,,,,,,,,,,2020,,
128,The Dog House,"bar, pub with music",no,15-17 Church Road,Liverpool,L159EA,https://thedoghousepennylane.com/,0151 475 1077,info@thedoghousepennylane.com,https://www.facebook.com/The-Dog-House-212706663003974/,https://twitter.com/thedog_house,Paul Anthony White,,emailed,,NA,,Liverpool,England,,C,,,53.3899,-2.91472,,15:00:00,23:00:00,12:00:00,00:00:00,,,SUN/12:00/00:00,,100,N,,https://instagram.com/thedoghousepennylane,Public House,Gigs and Clubs,,,,,,,,2018,,
129,The Epstein Theatre ,theatre,no,85 Hanover Street,Liverpool,L13DZ,https://www.epsteinliverpool.co.uk/,0844 888 9991,info@epsteintheatre.co.uk,https://www.facebook.com/EpsteinTheatre/,https://twitter.com/EpsteinTheatre,Liverpool City Council,,emailed,,NA,,Liverpool ,England,,C,,1683568,53.40436,-2.98225,,,,,,19:30:00,23:00:00,,,380,N,,https://www.instagram.com/epsteintheatre/,Live Music Venue,Major Live Events,,1,1,,,,,1913,,
130,The Falcon,"bar, pub with music",no,Bewley Drive,Kirkby,L329PF,NA,0151 546 3771,NA,https://www.facebook.com/falconkirkby,https://twitter.com/thefalconkirkby,N/A,,,,NA,,Liverpool,England,,,,,53.47563,-2.8865,,17:00:00,00:00:00,13:00:00,00:00:00,,,SAT/12:30/00:00; SUN/12:30/00:00,,,Y,TA,https://www.instagram.com/falconkirkby/,Public House,Gigs and Clubs,,,,,,,,NA,,
131,The Grapes,"bar, pub with music",no,60 Roscoe Street,Liverpool,L19DW,http://the-grapes-liverpool.edan.io/,TBC,NA,https://www.facebook.com/profile.php?id=100067029261599,https://twitter.com/LiverpoolGrapes,"Paul Agoro, Anna Slater ",,,,NA,,Liverpool,England,,,,,53.40037,-2.97466,,11:00:00,01:00:00,13:00:00,01:00:00,,,MON/16:00/23:00; SAT/11:00/01:00,,,Y,TA,https://www.instagram.com/thegrapesliverpool/,Public House,Gigs and clubs,,,,,,,,1846,,
132,The Grapes,"bar, pub with music",no,25 Mathew Street,Liverpool,L26RE,https://blindtigerinns.co.uk/pubs/the-grapes/,0151 347 0086,thegrapes@blindtigerinns.co.uk,https://www.facebook.com/thegrapesmathewstreet/,https://twitter.com/grapesmathewst,Blind Tiger Inns Ltd,,,,,,Liverpool,England,,,,,53.40642,-2.98704,,12:00:00,02:00:00,12:00:00,04:30:00,,,SUN/12:00/04:30,,,Y,SA,,,,,,,,,,,1965,,
133,The Greenroom,Arts,yes,78 Duke Street,Liverpool,L15AA,NA,,NA,NA,NA,Ricky Tomlinson,,,,NA, ,Liverpool,England,,,,,53.40152,-2.98179,,08:00:00,17:30:00,08:00:00,01:00:00,,,SAT/10:00/01:00; SUN/12:30/19:00,,250,N,,https://www.instagram.com/greenroomcabaret/,Public House,Gigs and Clubs,,1,,,,,,2010,,
134,The Griffin Hotel,hotelres,no,94 Earle Street,Newton-Le Willows,WA129LR,NA,01925 225417,NA,https://www.facebook.com/griffinearlestown/,NA,,,,,NA,,Newton-Le Willows,England,,C,,,53.45068,-2.64391,,16:00:00,23:00:00,16:00:00,00:30:00,,,SAT/12:30/00:30; SUN/12:00/22:30,,150,Y,SA,,Public House,Gigs and Clubs,,,,,,,,1891,,
135,The Hungry Monk,"bar, pub with music",no,20 Cambridge Walks,Southport,PR81EN,https://www.thehungrymonk.co.uk/,01704 809 355,info@thehungrymonk.co.uk,https://www.facebook.com/The-Hungry-Monk-Ale-House-Kitchen-715874305130767/,https://twitter.com/monkhungry,Paul Dawbarn,,,,https://www.thehungrymonk.co.uk/contact/,,Southport,England,Prior use was a cafÇ,C,,,53.64705,-3.00516,,12:00:00,17:00:00,12:00:00,22:00:00,,,WED/12:00/21:00; THU/12:00/21:00; SAT/12:00/23:30,,120,Y,SA,https://www.instagram.com/monkhungry/,,Gigs and Clubs,,,,,,,,2014,,
136,The John Brodie,"bar, pub with music",no,"Unit 1a, Allerton Road",Liverpool,L185HU,https://www.greatukpubs.co.uk/johnbrodieliverpool,0151 724 3687,thejohnbrodie@stonegategroup.co.uk,https://www.facebook.com/TheJohnBrodie/,https://twitter.com/thejohnbrodie1,Stonegate Pubs,,,,NA,,Liverpool,England,,,,,53.384792,-2.90759,,10:00:00,23:00:00,10:00:00,23:00:00,,,,,,N,,https://www.instagram.com/thejohnbrodie/,Public House,Gigs and Clubs,,,,,,,,NA,,
137,The Liverpool,"bar, pub with music",no,14 James Street,Liverpool,L27PQ,https://theliverpoolpub.com,0151 236 1650,liverpoolpub@yahoo.com,https://www.facebook.com/theliverpoolpub1/,https://twitter.com/theliverpoolpub,THE LIVERPOOL (JAMES STREET) LIMITED,,,,https://www.theliverpoolpub.com/contact-us,,Liverpool,England,,C,,3003249,53.40497,-2.99165,,10:00:00,23:00:00,10:00:00,02:00:00,,,THU/10:00/00:00; SAT/09:00/02:00; SUN/09:00/00:00,,70,N,,https://www.instagram.com/theliverpoolpub/,Public House,Gigs and Clubs,,,,,,,,1993,,
138,The Merchant,"bar, pub with music",no,40 Slater Street,Liverpool,L14BX,http://www.themerchantliverpool.co.uk/,0151 538 7965,info@merchantliverpool.com,https://www.facebook.com/TheMerchantLiverpool/,https://twitter.com/merchantpub,Richard McGinnis,Kate Reason,kate@themerchantliverpool.com,7540451807,NA,,Liverpool ,England,,C,,3384199,53.40191,-2.9804,,12:00:00,23:00:00,12:00:00,02:00:00,,,THU/12:00/01:00; SAT/12:00/03:00,,300,Y,SA,https://www.instagram.com/themerchantliverpool/,Public House,Gigs and Clubs,,,1,,,,,2016,,
139,The Oldy Club,"bar, pub with music",no,125 Ormskirk Road,Liverpool,L95AE,NA,0151 526 4141,liverpubs@yahoo.com,https://www.facebook.com/theoldroanpub/,https://twitter.com/theoldroan,,,,,NA,,Liverpool,England,"Capacity of whole venue 500, but 250 of that is a function room | Prior use Legion Club",C,,,53.48568,-2.95069,,12:00:00,00:00:00,12:00:00,00:00:00,,,,,250,Y,SA,,,Gigs and Clubs,,,,,,,,2012,,
140,The Other Place Bar,"bar, pub with music",yes,141-143 Allerton Road,Liverpool,L182DD,NA,0151 724 1234,john@theotherplacebar.co.uk,https://facebook.com/theotherplacebar/,https://twitter.com/TheOtherPlace1,John Christopher Green,John,john@theotherplacebar.co.uk,07540 096534,NA,,Liverpool,England,,C,,,53.38499,-2.90698,,12:00:00,00:00:00,12:00:00,00:00:00,,,,,500,Y,SA,https://www.instagram.com/theotherplace_bar/,Public House,Gigs and Clubs,,1,,,,,,1982,,
141,The Peacock,"bar, pub with music",no,49-51 Seel Street,Liverpool,L14AZ,https://peacockliverpool.co.uk/,0151 351 6727,info@peacockliverpool.co.uk,https://www.facebook.com/peacock.liverpool/,https://twitter.com/peacock_seelst,Pub Invest Group,Alan Li,alan.li@jsmbars.co.uk,NA,https://peacockliverpool.co.uk/contact/,,Liverpool,England,,,,,53.402128,-2.97919,,16:00:00,03:00:00,16:00:00,03:00:00,,,TUE/16:00/04:00; SAT/12:00/04:00; SUN/14:00/03:00,,205,Y,BOTH,https://www.instagram.com/thepeacock_seelst/,Public House,Gigs and Clubs,,,,,,,,2008,,HD1/CC15
142,The Pen Factory,"bar, pub with music",no,13 Hope Street,Liverpool,L19BQ,http://pen-factory.co.uk/,0151 709 7887,info@pen-factory.co.uk,https://www.facebook.com/ThePenFactory/,https://twitter.com/thepenfactory,Paddy Byrne,,,,NA,,Liverpool,England,,C,,3231644,53.40277,-2.9694,,11:00:00,23:00:00,11:00:00,00:00:00,,,Closed SUN/MON; THU/11:00/00:00,,150,Y,TA,http://instagram.com/the_pen_factory,Public House,Gigs and Clubs,,,,,,,,2015,,
143,The Pilgrim,"bar, pub with music",no,34 Pilgrim Street,Liverpool,L19HB,NA,0151 709 2302,thepilgrimpub@googlemail.com,https://www.facebook.com/ThePilgrimLiverpool,https://twitter.com/The_Pilgrim_Pub?,Old Hall Inns & Taverns Ltd,,,,NA,,Liverpool ,England,,,,129475,53.40037,-2.97288,,12:00:00,23:00:00,12:00:00,23:00:00,,,SUN/12:00/22:30,,100,N,,https://www.instagram.com/pilgrimliverpool/,Public House,Gigs and Clubs,,,,,,,,NA,,
144,The Potting Shed,"bar, pub with music",no,137-141 Lord Street,Southport,PR81PU,https://pottingshedbar.com/venues/southport,01704 532045,info@pottingshedbar.com,https://www.facebook.com/ThePottingShedSouthport/,https://twitter.com/pottingshedsprt,,N/A,N/A,N/A,NA,,Southport,England,,,,,53.64629,-3.00951,,11:00:00,23:30:00,11:00:00,01:30:00,,,,,,Y,BOTH,https://www.instagram.com/pottingshedsouthport/,Public House,Gigs and Clubs,,,,,,,,2018,2022,
145,The Sefton,"bar, pub with music",no,1-7 Baldwin Street,St Helens,WA102RS,https://www.greatukpubs.co.uk/thesefton-sthelens,01744 22065,thesefton.sthelens@stonegategroup.co.uk,https://www.facebook.com/TheSeftonStHelens/,https://twitter.com/seftonarms,Stonegate Pubs,Matthew Williams,thesefton.sthelens@stonegategroup.co.uk,NA,NA,,St Helens,England,Manager doesn't know exact opening year,C,,,53.45384,-2.73861,,10:00:00,23:00:00,10:00:00,02:00:00,,,THU/10:00/00:00,,300,Y,TA,https://www.instagram.com/thesefton_sthelens/,Public House,Gigs and Clubs,,,,,,,,1800s,,
146,The Shipping Forecast,"bar, pub with music",no,15 Slater Street,Liverpool,L14BW,https://www.theshippingforecastliverpool.com/,?0151 709 6901,info@theshippingforecastliverpool.com,https://www.facebook.com/shipping.forecast.3,NA,Mitchells & Butlers Leisure Retail Ltd,Chelsey,info@theshippingforecastliverpool.com,7590516776,NA,,Liverpool,England,,C,,,53.40259,-2.97946,,12:00:00,00:00:00,12:00:00,02:00:00,,,,,650,Y,SA,https://www.instagram.com/ship.forecast/,Public House,Gigs and clubs,,,,,,,,2013,,
147,The Hold,smallvenue,yes,15 Slater Street,Liverpool,L14BW,https://www.theshippingforecastliverpool.com/,?0151 709 6901,info@theshippingforecastliverpool.com,https://www.facebook.com/shipping.forecast.3,NA,Mitchells & Butlers Leisure Retail Ltd,Chelsey ,info@theshippingforecastliverpool.com,7590516776,NA,,Liverpool,England,,C,,972751,53.40259,-2.97946,,,,,,19:00:00,23:00:00,,,180,Y,SA,https://www.instagram.com/ship.forecast/,Public House,Gigs and clubs,,1,,,,,,2013,,
